Material,Item,Organization
PLASTIC MATERIALS,Buoys & Floats (plastic & foamed),Let's Do It World
PLASTIC MATERIALS,Caps & Lids (plastic),Let's Do It World
PLASTIC MATERIALS,Carpet (synthetic),Let's Do It World
PLASTIC MATERIALS,Cigarette Filters,Let's Do It World
PLASTIC MATERIALS,Cigarette Lighters,Let's Do It World
PLASTIC MATERIALS,Cigar Tips,Let's Do It World
PLASTIC MATERIALS,"Containers: Fast Food, Lunch Boxes",Let's Do It World
PLASTIC MATERIALS,Cotton Bud Sticks,Let's Do It World
PLASTIC MATERIALS,"Cups, Plastes, Forks, Knives, Spoons",Let's Do It World
PLASTIC MATERIALS,Diapers/Nappies,Let's Do It World
PLASTIC MATERIALS,Fishing: Line,Let's Do It World
PLASTIC MATERIALS,"Fishing: Lures, Rods/Poles",Let's Do It World
PLASTIC MATERIALS,Fishing: Traps & Pots,Let's Do It World
PLASTIC MATERIALS,Fishing: Nets & Pieces of Nets,Let's Do It World
PLASTIC MATERIALS,Fising: Traps & Pots,Let's Do It World
PLASTIC MATERIALS,Foam Insulation & Packaging,Let's Do It World
PLASTIC MATERIALS,Food Wrappers (plastic),Let's Do It World
PLASTIC MATERIALS,Furnishings (plastic),Let's Do It World
PLASTIC MATERIALS,Gloves (latex),Let's Do It World
PLASTIC MATERIALS,Light Sticks/Cyalumes,Let's Do It World
PLASTIC MATERIALS,Mesh Bags,Let's Do It World
PLASTIC MATERIALS,Pipes (plastic/PVC),Let's Do It World
PLASTIC MATERIALS,Rope (plastic/nylon),Let's Do It World
PLASTIC MATERIALS,Scuba & Snorkel Gear,Let's Do It World
PLASTIC MATERIALS,Sheeting,Let's Do It World
PLASTIC MATERIALS,"Six-Pack Rings, Ring Carriers",Let's Do It World
PLASTIC MATERIALS,Strapping Bands (plastic),Let's Do It World
PLASTIC MATERIALS,"Straws, Stirrers",Let's Do It World
PLASTIC MATERIALS,Syringes (plastic),Let's Do It World
PLASTIC MATERIALS,Tampon Applicators,Let's Do It World
PLASTIC MATERIALS,Tobacco Packaging & Wrappers,Let's Do It World
PLASTIC MATERIALS,Toothbrushes,Let's Do It World
PLASTIC MATERIALS,Plastic Fragments,Let's Do It World
PLASTIC MATERIALS,Other Plastic,Let's Do It World
GLASS & CERAMIC,Beverage Bottles (glass),Let's Do It World
GLASS & CERAMIC,Buoys (glass),Let's Do It World
GLASS & CERAMIC,"Cups, Plates, Tableware, Dishes",Let's Do It World
GLASS & CERAMIC,Fluorescent Light Tubes,Let's Do It World
GLASS & CERAMIC,Jars: Food (glass),Let's Do It World
GLASS & CERAMIC,"Light Globes: Bulbs, etc.",Let's Do It World
GLASS & CERAMIC,Syringes (glass),Let's Do It World
GLASS & CERAMIC,Glass & Ceramic Fragments,Let's Do It World
GLASS & CERAMIC,Other Glass,Let's Do It World
METAL MATERIALS,Aerosol/Spray Cans,Let's Do It World
METAL MATERIALS,Appliances: Household,Let's Do It World
METAL MATERIALS,"Batteries: AA, AAA, etc.",Let's Do It World
METAL MATERIALS,Batteries: Car or boat,Let's Do It World
METAL MATERIALS,Beverage Cans (aluminum),Let's Do It World
METAL MATERIALS,"Cans: Food, Juice, Other (tin)",Let's Do It World
METAL MATERIALS,Caps & Lids (metal),Let's Do It World
METAL MATERIALS,Cars & Car Parts,Let's Do It World
METAL MATERIALS,"Cups, Plates, Tableware, Dishes (metal)",Let's Do It World
METAL MATERIALS,Drums: 55 gallon,Let's Do It World
METAL MATERIALS,"Fishing: Sinkers, Lures, Hooks",Let's Do It World
METAL MATERIALS,Fishing: Traps & Pots,Let's Do It World
METAL MATERIALS,"Forks, Knives, Spoons (cutlery)",Let's Do It World
METAL MATERIALS,"Gas Bottles/Cylinder, Drums",Let's Do It World
METAL MATERIALS,Pipes & Rebar,Let's Do It World
METAL MATERIALS,Pull Tabs: Beverages,Let's Do It World
METAL MATERIALS,Scuba Weights,Let's Do It World
METAL MATERIALS,Strapping Bands (metal),Let's Do It World
METAL MATERIALS,"Wire, Wire Mesh, Barbed Wire",Let's Do It World
METAL MATERIALS,Wrappers (foil/metal),Let's Do It World
METAL MATERIALS,Metal Fragments,Let's Do It World
METAL MATERIALS,Other Metal,Let's Do It World
RUBBER MATERIALS,Condoms,Let's Do It World
RUBBER MATERIALS,Gloves (rubber),Let's Do It World
RUBBER MATERIALS,Inner-Tubes & Rubber Sheets,Let's Do It World
RUBBER MATERIALS,Rubber Bands,Let's Do It World
RUBBER MATERIALS,Tires/Tyres,Let's Do It World
RUBBER MATERIALS,Rubber Fragments,Let's Do It World
RUBBER MATERIALS,Other Rubber,Let's Do It World
WOOD MATERIALS,Fishing: traps & pots,Let's Do It World
WOOD MATERIALS,Furnishings (wood),Let's Do It World
WOOD MATERIALS,Lumber (processed or cut/milled wood),Let's Do It World
WOOD MATERIALS,Pallets,Let's Do It World
WOOD MATERIALS,Wood Fragments,Let's Do It World
WOOD MATERIALS,Other wood,Let's Do It World
CLOTH MATERIALS,Bags (burlap/hessian),Let's Do It World
CLOTH MATERIALS,Bags (cloth),Let's Do It World
CLOTH MATERIALS,Gloves (cloth),Let's Do It World
CLOTH MATERIALS,Rope & String (cloth),Let's Do It World
CLOTH MATERIALS,"Towels, Rags",Let's Do It World
CLOTH MATERIALS,Cloth Fragments,Let's Do It World
CLOTH MATERIALS,Other Cloth,Let's Do It World
PAPER/CARDBOARD,Bags (paper),Let's Do It World
PAPER/CARDBOARD,Cardboard: Packaging & Cartons,Let's Do It World
PAPER/CARDBOARD,"Paper: Books, Newspapers, Magazines, etc.",Let's Do It World
PAPER/CARDBOARD,Paper/Cardboard Fragments,Let's Do It World
PAPER/CARDBOARD,Other Paper,Let's Do It World
MIXED MATERIALS,"Bricks, Cinderblocks, Chunks of Cement",Let's Do It World
MIXED MATERIALS,Clothing,Let's Do It World
MIXED MATERIALS,Computer Equipment & Other Electronic Devices,Let's Do It World
MIXED MATERIALS,Fireworkds,Let's Do It World
MIXED MATERIALS,"Shoes, Flip Flops, Sandals, Tennis, etc. ",Let's Do It World
MIXED MATERIALS,Tampons,Let's Do It World
MIXED MATERIALS,Toys,Let's Do It World
MIXED MATERIALS,Other Mixed,Let's Do It World
METAL,Aerosol cans,Marine Debris Items
METAL,Aluminum or tin cans,Marine Debris Items
PAPER & LUMBER,Paper Bags,Marine Debris Items
PLASTIC,Plastic Bags,Marine Debris Items
PLASTIC,Balloons - Mylar,Marine Debris Items
PLASTIC,Beverage Bottles,Marine Debris Items
GLASS,Glass Bottle,Marine Debris Items
PLASTIC,Bottle or Container Caps,Marine Debris Items
METAL,Metal Bottle Caps,Marine Debris Items
PAPER & LUMBER,Lumber/Building Materials,Marine Debris Items
FISHING GEAR,Buoys and floats,Marine Debris Items
PLASTIC,Disposable cigarette lighters,Marine Debris Items
PLASTIC,Cigarette or tobacco packaging,Marine Debris Items
PLASTIC,Cigarettes,Marine Debris Items
CLOTH,Clothing and Shoes,Marine Debris Items
PLASTIC,Foam or Plastic Cups,Marine Debris Items
PAPER & LUMBER,Paper Cups,Marine Debris Items
CLOTH,Fabric pieces,Marine Debris Items
FISHING GEAR,Fishing lures and lines,Marine Debris Items
RUBBER,Flip-flops,Marine Debris Items
PAPER & LUMBER,Food wrappers (paper),Marine Debris Items
PLASTIC,Food Wrappers,Marine Debris Items
RUBBER,Rubber Gloves,Marine Debris Items
CLOTH,Gloves (non-rubber),Marine Debris Items
GLASS,Glass Jars,Marine Debris Items
PLASTIC,Other Jugs or Containers,Marine Debris Items
PAPER & LUMBER,Paper and Cardboard,Marine Debris Items
PLASTIC,Personal care products,Marine Debris Items
PLASTIC,Plastic or Foam Fragments,Marine Debris Items
FISHING GEAR,Plastic rope / Small Net Pieces,Marine Debris Items
FISHING GEAR,Rope or Net Pieces (non-nylon),Marine Debris Items
PLASTIC,Plastic Utensils,Marine Debris Items
PLASTIC,Six-pack rings,Marine Debris Items
PLASTIC,Straws,Marine Debris Items
PLASTIC,Styrofoam packaging,Marine Debris Items
RUBBER,Tires,Marine Debris Items
CLOTH,Towels or rags,Marine Debris Items
PLASTIC,Toys (plastic),Marine Debris Items
OTHER ITEMS,Other,Marine Debris Items
METAL,Batteries (acidic and alkaline),Marine Debris Items
PLASTIC,Chemicals and chemical containers,Marine Debris Items
FISHING GEAR,Crab/Lobster/Fish trap parts,Marine Debris Items
PLASTIC,Fireworks,Marine Debris Items
FISHING GEAR,Fishing nets,Marine Debris Items
PLASTIC,Non-food related plastic packaging,Marine Debris Items
PAPER & LUMBER,Pallets,Marine Debris Items
OTHER ITEMS,Test Item,Marine Debris Items
PLASTIC,Cigar Tips,Marine Debris Items
PLASTIC,Hard plastic fragments,Marine Debris Items
PLASTIC,Foam fragments,Marine Debris Items
PLASTIC,Film fragments,Marine Debris Items
METAL,Metal fragments,Marine Debris Items
GLASS,Glass fragments,Marine Debris Items
RUBBER,Latex balloons,Marine Debris Items
RUBBER,Rubber fragments,Marine Debris Items
GENERAL,Gloves (plastic),Marine Debris List
GENERAL,Gloves (textile),Marine Debris List
GENERAL,FloatsBuoys (plastic),Marine Debris List
GENERAL,FloatsBuoys (styrofoam),Marine Debris List
GENERAL,FloatsBuoys (metal),Marine Debris List
GENERAL,Rope < 1 meter,Marine Debris List
GENERAL,Rope > 1 meter,Marine Debris List
GENERAL,Bait ContainersPackaging (plastic),Marine Debris List
GENERAL,Bait ContainersPackaging (styrofoam),Marine Debris List
GENERAL,CrabLobsterFish Traps(metal),Marine Debris List
GENERAL,CrabLobsterFish Traps(plastic),Marine Debris List
GENERAL,temp,Marine Debris List
GENERAL,Condoms,Medical and Personal Hygiene
GENERAL,Diapers,Medical and Personal Hygiene
GENERAL,Syringes,Medical and Personal Hygiene
GENERAL,Tampons or Tampon Applicators,Medical and Personal Hygiene
PLASTIC,0 Microplastic Pieces,Microplastics
PLASTIC,Less than 100 Microplastic Pieces,Microplastics
PLASTIC,"Less than 1,000 Microplastic Pieces",Microplastics
PLASTIC,"Less than 5,000 Microplastic Pieces",Microplastics
PLASTIC,"Less than 10,000 Microplastic Pieces",Microplastics
PLASTIC,"Less than 20,000 Microplastic Pieces",Microplastics
PLASTIC,"Less than 50,000 Microplastic Pieces",Microplastics
PLASTIC,"Less than 100,000 Microplastic Pieces",Microplastics
PLASTIC,"Less than 150,000 Microplastic Pieces",Microplastics
PLASTIC,"Less than 200,000 Microplastic Pieces",Microplastics
PLASTIC,"200,000 or more Microplastic Pieces",Microplastics
PLASTIC,Unknown number of Microplastic Pieces,Microplastics
OTHER ITEMS,Test Item,Microplastics
OTHER ITEMS,Start Microplastic Sampling,Microplastics
OTHER ITEMS,Microplastic Sampling Track,Microplastics
OTHER ITEMS,End of Micoplastic Sampling,Microplastics
FOOD PLASTIC,Retail Bag,Nat Geo Source to Sea Expedition List
FOOD PLASTIC,Take-Out Food Bag,Nat Geo Source to Sea Expedition List
FOOD PLASTIC,Plastic String,Nat Geo Source to Sea Expedition List
FOOD PLASTIC,Plastic Bottle,Nat Geo Source to Sea Expedition List
FOOD PLASTIC,Plastic Bottle Cap,Nat Geo Source to Sea Expedition List
FOOD PLASTIC,Plastic Food Wrapper,Nat Geo Source to Sea Expedition List
FOOD PLASTIC,Juicebox/Coated Paperboard,Nat Geo Source to Sea Expedition List
FOOD PLASTIC,Foam or Plastic Cups/Lids,Nat Geo Source to Sea Expedition List
FOOD PLASTIC,Styrofoam Container,Nat Geo Source to Sea Expedition List
FOOD PLASTIC,To Go Ware (Multimaterial),Nat Geo Source to Sea Expedition List
FOOD PLASTIC,Street Food Bowl,Nat Geo Source to Sea Expedition List
FOOD PLASTIC,Straws,Nat Geo Source to Sea Expedition List
PERSONAL CARE,Personal Care Product Sachets,Nat Geo Source to Sea Expedition List
PERSONAL CARE,Cotton Buds,Nat Geo Source to Sea Expedition List
PERSONAL CARE,Toothbrushes,Nat Geo Source to Sea Expedition List
PERSONAL CARE,Personal Care Product Tube,Nat Geo Source to Sea Expedition List
PERSONAL CARE,Blister pack,Nat Geo Source to Sea Expedition List
TOBACCO PRODUCTS,Cigarette Lighters & Packaging,Nat Geo Source to Sea Expedition List
TOBACCO PRODUCTS,Tobacco Sachets,Nat Geo Source to Sea Expedition List
TOBACCO PRODUCTS,Cigaerettes,Nat Geo Source to Sea Expedition List
OTHER PLASTIC,"HDPE Container (Shampoo bottles, Milk Jugs, etc.)",Nat Geo Source to Sea Expedition List
OTHER PLASTIC,Plastic Shoes & Flip Flops,Nat Geo Source to Sea Expedition List
OTHER PLASTIC,Tires,Nat Geo Source to Sea Expedition List
OTHER PLASTIC,Bulk Bags,Nat Geo Source to Sea Expedition List
OTHER PLASTIC,Rubber Bands,Nat Geo Source to Sea Expedition List
OTHER PLASTIC,Other Plastic,Nat Geo Source to Sea Expedition List
PLASTIC FRAGMENTS,Industrial Plastic Pellets,Nat Geo Source to Sea Expedition List
PLASTIC FRAGMENTS,Sheetlike User Plastics,Nat Geo Source to Sea Expedition List
PLASTIC FRAGMENTS,Threadlike User Plastics,Nat Geo Source to Sea Expedition List
PLASTIC FRAGMENTS,Foamed User Plastics ,Nat Geo Source to Sea Expedition List
PLASTIC FRAGMENTS,Hard Plastic Fragments,Nat Geo Source to Sea Expedition List
PLASTIC FRAGMENTS,Other Fragments,Nat Geo Source to Sea Expedition List
METAL,Alumnium or Tin Cans,Nat Geo Source to Sea Expedition List
METAL,Metal Bottle Caps,Nat Geo Source to Sea Expedition List
METAL,Alumninum Foil,Nat Geo Source to Sea Expedition List
METAL,Other Metal,Nat Geo Source to Sea Expedition List
GLASS,Glass Bottle,Nat Geo Source to Sea Expedition List
GLASS,Glass Fragments,Nat Geo Source to Sea Expedition List
GLASS,Other Glass,Nat Geo Source to Sea Expedition List
CLOTH,Clothing,Nat Geo Source to Sea Expedition List
CLOTH,Fabric Pieces,Nat Geo Source to Sea Expedition List
CLOTH,Towels or Rags,Nat Geo Source to Sea Expedition List
CLOTH,Other Cloth,Nat Geo Source to Sea Expedition List
PAPER,Paper Bags,Nat Geo Source to Sea Expedition List
PAPER,Paper Food Box,Nat Geo Source to Sea Expedition List
PAPER,Corregated Cardboard,Nat Geo Source to Sea Expedition List
PAPER,Receipts,Nat Geo Source to Sea Expedition List
PAPER,Paper,Nat Geo Source to Sea Expedition List
PAPER,Other Paper,Nat Geo Source to Sea Expedition List
C&D MATERIALS,Lumber,Nat Geo Source to Sea Expedition List
C&D MATERIALS,Building Materials,Nat Geo Source to Sea Expedition List
C&D MATERIALS,Aggregate & Brick,Nat Geo Source to Sea Expedition List
C&D MATERIALS,"Bolts, Nails, and Screws",Nat Geo Source to Sea Expedition List
C&D MATERIALS,Other C&D,Nat Geo Source to Sea Expedition List
FISHING GEAR,Buoys and Floats,Nat Geo Source to Sea Expedition List
FISHING GEAR,Plastic Rope,Nat Geo Source to Sea Expedition List
FISHING GEAR,Fishing Lures,Nat Geo Source to Sea Expedition List
FISHING GEAR,Fishing Line,Nat Geo Source to Sea Expedition List
FISHING GEAR,Plastic Net or Net Pieces,Nat Geo Source to Sea Expedition List
FISHING GEAR,Other Fishing Gear,Nat Geo Source to Sea Expedition List
E-WASTE,Batteries,Nat Geo Source to Sea Expedition List
E-WASTE,E-Waste Fragments,Nat Geo Source to Sea Expedition List
E-WASTE,Other E-Waste,Nat Geo Source to Sea Expedition List
ORGANICS,Food Waste,Nat Geo Source to Sea Expedition List
ORGANICS,Other Organic Waste,Nat Geo Source to Sea Expedition List
DUMP SITE,Waste Pile,Nat Geo Source to Sea Expedition List
DUMP SITE,Ash Pile,Nat Geo Source to Sea Expedition List
RESTAURANT,Street Food Stands,Nat Geo Source to Sea Expedition List
RESTAURANT,Coffee/Tea Shop,Nat Geo Source to Sea Expedition List
RESTAURANT,Fast Food,Nat Geo Source to Sea Expedition List
RESTAURANT,Sit-Down Restuarant,Nat Geo Source to Sea Expedition List
RESTAURANT,Other Restaurant,Nat Geo Source to Sea Expedition List
STORES,Convenience,Nat Geo Source to Sea Expedition List
STORES,Grocery,Nat Geo Source to Sea Expedition List
STORES,Street Vendor,Nat Geo Source to Sea Expedition List
STORES,Non-Food Retail,Nat Geo Source to Sea Expedition List
STORES,Other Store,Nat Geo Source to Sea Expedition List
WASTE BINS,Trash,Nat Geo Source to Sea Expedition List
WASTE BINS,Trash Overflowing,Nat Geo Source to Sea Expedition List
WASTE BINS,Trash for Store/Kiosk,Nat Geo Source to Sea Expedition List
WASTE BINS,Trash for Store/Kiosk Overflowing,Nat Geo Source to Sea Expedition List
WASTE BINS,General Recycling,Nat Geo Source to Sea Expedition List
WASTE BINS,General Recycling Overflowing,Nat Geo Source to Sea Expedition List
WASTE BINS,Plastic Recycling,Nat Geo Source to Sea Expedition List
WASTE BINS,Plastic Recycling Overflowing,Nat Geo Source to Sea Expedition List
WASTE BINS,Paper Recycling,Nat Geo Source to Sea Expedition List
WASTE BINS,Paper Recycling Overflowing,Nat Geo Source to Sea Expedition List
WASTE BINS,Metal Recycling,Nat Geo Source to Sea Expedition List
WASTE BINS,Metal Recycling Overflowing,Nat Geo Source to Sea Expedition List
WASTE BINS,Glass Recycling,Nat Geo Source to Sea Expedition List
WASTE BINS,Glass Recycling Overflowing,Nat Geo Source to Sea Expedition List
WASTE BINS,Compost,Nat Geo Source to Sea Expedition List
WASTE BINS,Compost Overflowing,Nat Geo Source to Sea Expedition List
WASTE BINS,Dumpster,Nat Geo Source to Sea Expedition List
WASTE BINS,Dumpster Overflowing,Nat Geo Source to Sea Expedition List
WASTE BINS,Other,Nat Geo Source to Sea Expedition List
INFORMAL SECTOR,Junk Shop,Nat Geo Source to Sea Expedition List
INFORMAL SECTOR,Recyclables Sorting Space,Nat Geo Source to Sea Expedition List
INFORMAL SECTOR,Informal Collection Space,Nat Geo Source to Sea Expedition List
INFORMAL SECTOR,Informal Sorting Space,Nat Geo Source to Sea Expedition List
INFORMAL SECTOR,Other,Nat Geo Source to Sea Expedition List
HYDROLOGY,Canal,Nat Geo Source to Sea Expedition List
HYDROLOGY,Stormdrain,Nat Geo Source to Sea Expedition List
OTHER,Land-Based Drift Card Drop Point,Nat Geo Source to Sea Expedition List
OTHER,Water-Based Drift Card Drop Point,Nat Geo Source to Sea Expedition List
OTHER,Quadrat Sample,Nat Geo Source to Sea Expedition List
OTHER,Schools,Nat Geo Source to Sea Expedition List
OTHER,Parks/Green Space,Nat Geo Source to Sea Expedition List
OTHER,Bus Stop,Nat Geo Source to Sea Expedition List
OTHER,Park Benches,Nat Geo Source to Sea Expedition List
OTHER,Religious Practice Site,Nat Geo Source to Sea Expedition List
FOOD PLASTIC,Other Food Plastic,Nat Geo Source to Sea Expedition List
PERSONAL CARE,Other Personal Care Product,Nat Geo Source to Sea Expedition List
TOBACCO PRODUCTS,Other Tobacco Product,Nat Geo Source to Sea Expedition List
DUMP SITE,Waste Accumulation Zone,Nat Geo Source to Sea Expedition List
OTHER,Air Sample Location,Nat Geo Source to Sea Expedition List
OTHER,Other Litter Item,Nat Geo Source to Sea Expedition List
OTHER,Test Item,Nat Geo Source to Sea Expedition List
OTHER,Popsicle Stick,Nat Geo Source to Sea Expedition List
GENERAL,Bair containers or Packaging,Ocean and Waterway Activities
GENERAL,Bleach or Cleaner Bottles,Ocean and Waterway Activities
GENERAL,Buoys or Floats,Ocean and Waterway Activities
GENERAL,Crab or Lobster or Fish Traps,Ocean and Waterway Activities
GENERAL,Crates,Ocean and Waterway Activities
GENERAL,Fishing Line,Ocean and Waterway Activities
GENERAL,Fishing Lures or Light Sticks,Ocean and Waterway Activities
GENERAL,Fishing Nets,Ocean and Waterway Activities
GENERAL,Light bulbs or Tubes,Ocean and Waterway Activities
GENERAL,Oil or Lube Bottles,Ocean and Waterway Activities
GENERAL,Pallets,Ocean and Waterway Activities
GENERAL,Plastic sheeting or Tarps,Ocean and Waterway Activities
GENERAL,Rope,Ocean and Waterway Activities
GENERAL,Strapping Bands,Ocean and Waterway Activities
MOST LIKELY TO FIND,Cigarrette Butts,Ocean Conservancy ICC List
MOST LIKELY TO FIND,Food Wrappers,Ocean Conservancy ICC List
MOST LIKELY TO FIND,Take Out/Away Containers (Plastic),Ocean Conservancy ICC List
MOST LIKELY TO FIND,Take Out/Away Containers (Foam),Ocean Conservancy ICC List
MOST LIKELY TO FIND,Bottle Caps (Plastic),Ocean Conservancy ICC List
MOST LIKELY TO FIND,Bottle Caps (Metal),Ocean Conservancy ICC List
MOST LIKELY TO FIND,Lids (Plastic),Ocean Conservancy ICC List
MOST LIKELY TO FIND,Straws/Stirrers,Ocean Conservancy ICC List
MOST LIKELY TO FIND,"Forks, Knives, Spoons",Ocean Conservancy ICC List
MOST LIKELY TO FIND,Beverage Bottles (Plastic),Ocean Conservancy ICC List
MOST LIKELY TO FIND,Beverage Bottles (Glass),Ocean Conservancy ICC List
MOST LIKELY TO FIND,Beverage Cans,Ocean Conservancy ICC List
MOST LIKELY TO FIND,Grocery Bags (Plastic),Ocean Conservancy ICC List
MOST LIKELY TO FIND,Other Plastic Bags,Ocean Conservancy ICC List
MOST LIKELY TO FIND,Paper Bags,Ocean Conservancy ICC List
MOST LIKELY TO FIND,Cups & Plates (Paper),Ocean Conservancy ICC List
MOST LIKELY TO FIND,Cups & Plates (Plastic),Ocean Conservancy ICC List
MOST LIKELY TO FIND,Cups & Plates (Foam),Ocean Conservancy ICC List
FISHING GEAR,"Fishing Buoys, Pots & Traps",Ocean Conservancy ICC List
FISHING GEAR,Fishing Net & Pieces,Ocean Conservancy ICC List
FISHING GEAR,Fishing Line,Ocean Conservancy ICC List
FISHING GEAR,Rope,Ocean Conservancy ICC List
PACKAGING MATERIALS,6-Pack Holders,Ocean Conservancy ICC List
PACKAGING MATERIALS,Other Plastic/Foam Packaging,Ocean Conservancy ICC List
PACKAGING MATERIALS,Other Plastic Bottles,Ocean Conservancy ICC List
PACKAGING MATERIALS,Strapping Bands,Ocean Conservancy ICC List
PACKAGING MATERIALS,Tobacco Packaging/Wrap,Ocean Conservancy ICC List
PERSONAL HYGIENE,Condoms,Ocean Conservancy ICC List
PERSONAL HYGIENE,Diapers,Ocean Conservancy ICC List
PERSONAL HYGIENE,Syringes,Ocean Conservancy ICC List
PERSONAL HYGIENE,Tampons/Tampon Applicators,Ocean Conservancy ICC List
OTHER TRASH,Appliances,Ocean Conservancy ICC List
OTHER TRASH,Balloons,Ocean Conservancy ICC List
OTHER TRASH,Cigar Tips,Ocean Conservancy ICC List
OTHER TRASH,Cigarette Lighters,Ocean Conservancy ICC List
OTHER TRASH,Construction Materials,Ocean Conservancy ICC List
OTHER TRASH,Fireworks,Ocean Conservancy ICC List
OTHER TRASH,Tires,Ocean Conservancy ICC List
OTHER ITEMS,Dead or Injured Animal,Ocean Conservancy ICC List
OTHER ITEMS,Other,Ocean Conservancy ICC List
OTHER ITEMS,Test Item,Ocean Conservancy ICC List
TINY TRASH < 2.5 CM,Foam Pieces,Ocean Conservancy ICC List
TINY TRASH < 2.5 CM,Glass Pieces,Ocean Conservancy ICC List
TINY TRASH < 2.5 CM,Plastic Pieces,Ocean Conservancy ICC List
OTHER ITEMS,Clothing,Ocean Conservancy ICC List
OTHER ITEMS,Shoes,Ocean Conservancy ICC List
OTHER ITEMS,Towels,Ocean Conservancy ICC List
OTHER ITEMS,Toys,Ocean Conservancy ICC List
OTHER ITEMS,Time,Open Ocean Hourly Observations
OTHER ITEMS,Ship Speed,Open Ocean Hourly Observations
OTHER ITEMS,Ship Heading,Open Ocean Hourly Observations
OTHER ITEMS,Wind Speed,Open Ocean Hourly Observations
OTHER ITEMS,Wind Direction,Open Ocean Hourly Observations
OTHER ITEMS,Visability,Open Ocean Hourly Observations
OTHER ITEMS,Fish,Open Ocean Hourly Observations
OTHER ITEMS,Turtle,Open Ocean Hourly Observations
OTHER ITEMS,Mammals,Open Ocean Hourly Observations
OTHER ITEMS,Sea Birds,Open Ocean Hourly Observations
OTHER ITEMS,Marine Debris,Open Ocean Hourly Observations
OTHER ITEMS,Sargassum Clump,Open Ocean Hourly Observations
OTHER ITEMS,Sargassum Fragment,Open Ocean Hourly Observations
OTHER ITEMS,Sargassum Windrow,Open Ocean Hourly Observations
OTHER ITEMS,Your Inititals,Open Ocean Hourly Observations
OTHER ITEMS,Food and beverage packaging,Our Ocean Youth Summit
OTHER ITEMS,Smoking-related items,Our Ocean Youth Summit
OTHER ITEMS,Sewage related debris,Our Ocean Youth Summit
OTHER ITEMS,Fisheries and mariculture tackles,Our Ocean Youth Summit
OTHER ITEMS,common household items,Our Ocean Youth Summit
OTHER ITEMS,Recreational fishing and hunting,Our Ocean Youth Summit
OTHER ITEMS,Industrial packaging and construction debris,Our Ocean Youth Summit
OTHER ITEMS,Agricultural tarpaulin and packaging,Our Ocean Youth Summit
OTHER ITEMS,Other identifiable items ,Our Ocean Youth Summit
OTHER ITEMS,Unknown items,Our Ocean Youth Summit
OTHER ITEMS,Test item,Our Ocean Youth Summit
PLASTIC,Plastic bags,Rozalia Project Long List
PAPER & LUMBER,Paper bags,Rozalia Project Long List
GLASS,Glass bottles,Rozalia Project Long List
METAL,Cans,Rozalia Project Long List
PLASTIC,Plastic drink bottles,Rozalia Project Long List
PLASTIC,Straws/stirrers,Rozalia Project Long List
PLASTIC,Utensils,Rozalia Project Long List
PLASTIC,Food wrappers,Rozalia Project Long List
PLASTIC,Plastic cups/plates,Rozalia Project Long List
PLASTIC,Foam cups/plates,Rozalia Project Long List
PLASTIC,Plastic take-away containers,Rozalia Project Long List
PLASTIC,Foam take-away containers,Rozalia Project Long List
PAPER & LUMBER,Paper cups/plates,Rozalia Project Long List
PLASTIC,Plastic bottle caps,Rozalia Project Long List
PLASTIC,"Plastic lids: coffee, jars, etc.",Rozalia Project Long List
METAL,Metal caps/lids,Rozalia Project Long List
PLASTIC,Cigarrettes,Rozalia Project Long List
PLASTIC,Cigar tips,Rozalia Project Long List
PLASTIC,Shotgun shells/wadding,Rozalia Project Long List
PAPER & LUMBER,Paper/tissue/napkin,Rozalia Project Long List
PLASTIC,Personal hygiene,Rozalia Project Long List
PLASTIC,Lighters,Rozalia Project Long List
CLOTH,Shoes,Rozalia Project Long List
PLASTIC,Toys,Rozalia Project Long List
PLASTIC,Sunglasses,Rozalia Project Long List
METAL,Batteries,Rozalia Project Long List
PLASTIC,Condoms,Rozalia Project Long List
PLASTIC,Balloons,Rozalia Project Long List
PLASTIC,Diapers,Rozalia Project Long List
CLOTH,Clothing/towel/gloves,Rozalia Project Long List
PLASTIC,Tampons/applicators,Rozalia Project Long List
FISHING GEAR,Bait containers/crates,Rozalia Project Long List
FISHING GEAR,Fishing nets,Rozalia Project Long List
FISHING GEAR,Derelict traps/trap pieces,Rozalia Project Long List
FISHING GEAR,Monofilament net/fiber up to 5mm,Rozalia Project Long List
FISHING GEAR,Monofilament net/fiber 5-30mm,Rozalia Project Long List
FISHING GEAR,Monofilament net larger than 30mm,Rozalia Project Long List
FISHING GEAR,Fishing lures/light sticks,Rozalia Project Long List
FISHING GEAR,Buoys/floats,Rozalia Project Long List
FISHING GEAR,Rope,Rozalia Project Long List
FISHING GEAR,Lobster claw bands,Rozalia Project Long List
OTHER ITEMS,Home and garden items,Rozalia Project Long List
PAPER & LUMBER,Shipping/packaging,Rozalia Project Long List
PLASTIC,Bleach/cleaner bottles,Rozalia Project Long List
OTHER ITEMS,Car/boat parts,Rozalia Project Long List
PLASTIC,Oil/lube bottles,Rozalia Project Long List
PLASTIC,Shipping/packaging,Rozalia Project Long List
PLASTIC,Plastic sheeting/tape,Rozalia Project Long List
PLASTIC,"Office supplies, pens, etc.",Rozalia Project Long List
PLASTIC,Strapping bands/zip ties,Rozalia Project Long List
PLASTIC,Wipes/oil sorbs,Rozalia Project Long List
PLASTIC,Microplastic up to 5mm,Rozalia Project Long List
